1,Especie 1
2,Especie 2
1.1,Sub-Especie 1.1
1.2,Sub-Especie 1.2
1.3,Sub-Especie 1.3
1.4,Sub-Especie 1.4
2.1,Sub-Especie 2.1
1.1.1,Sub-Sub-Especie 1.1.1
1.1.2,Sub-Sub-Especie 1.1.2
1.2.1,Sub-Sub-Especie 1.2.1
1.2.2,Sub-Sub-Especie 1.2.2
1.2.3,Sub-Sub-Especie 1.2.3
1.3.1,Sub-Sub-Especie 1.3.1
1.3.2,Sub-Sub-Especie 1.3.2
1.3.3,Sub-Sub-Especie 1.3.3
1.3.4,Sub-Sub-Especie 1.3.4
1.4.2,Sub-Sub-Especie 1.4.2
1.4.1,Sub-Sub-Especie 1.4.1
1.1.1.1,Sub-Sub-Especie 1.1.1.1
1.1.1.1.1,Sub-Sub-Especie 1.1.1.1.1
1.1.1.1.1.1,Sub-Sub-Especie 1.1.1.1.1.1
